Name,id,Recognition,State,Seat,Party,Gender,isdupe,DNA,Hair Final,Hairstyle Final,Eyebrows,Mouth,Ears,Facial Hair,Face,Misc,Eyes,Skin Shade,Wrinkles,Incumbent
Blake Moore,402,0.714,UT,1,R,M,0,MBlondeGeneric ShortNormalBig SmileNormalNoneNormalNoneBlue-GreyWhiteNo,Blonde,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Blue-Grey,White,No,Y
Chris Stewart,403,0.493,UT,2,R,M,0,MBrownReceding HairlineNormalSmirkNormalNoneNormalNoneBlueWhiteNo,Brown,Receding Hairline,Normal,Smirk,Normal,None,Normal,None,Blue,White,No,Y
John Curtis,404,0.476,UT,3,R,M,0,MGrayReceding HairlineNormalBig SmileNormalNoneNormalNoneHazelWhiteYes,Gray,Receding Hairline,Normal,Big Smile,Normal,None,Normal,None,Hazel,White,Yes,Y
Burgess Owens,405,0.769,UT,4,R,M,0,MBlackGeneric ShortNormalBig SmileNormalNoneNormalNoneBrownBlackYes,Black,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,Yes,Y
Mitt Romney,528,0.894,UT,SEN,R,M,0,MDark GrayReceding HairlineProminentBig SmileNormalNoneNormalNoneAmberWhitemild,Dark Gray,Receding Hairline,Prominent,Big Smile,Normal,None,Normal,None,Amber,White,mild,Y
Mike Lee,627,0.794,UT,SEN,R,M,0,MDark BrownReceding HairlineNormalSmirkNormalNoneCheeksNoneHazelwhiteno,Dark Brown,Receding Hairline,Normal,Smirk,Normal,None,Cheeks,None,Hazel,white,no,Y
Rob Wittman,407,0.541,VA,1,R,M,0,MGrayGeneric ShortProminentSmirkNormalNoneNormalNoneBlueWhiteMild,Gray,Generic Short,Prominent,Smirk,Normal,None,Normal,None,Blue,White,Mild,Y
Elaine Luria,408,0.762,VA,2,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneNormalNoneGreenWhiteYes,Brown,Female Long,Normal,Big Smile,Normal,None,Normal,None,Green,White,Yes,Y
Bobby Scott,409,0.602,VA,3,D,M,0,MGrayGeneric Male MediumNormalNormalNormalMoustacheNormalGlassesBrownBrownYes,Gray,Generic Male Medium,Normal,Normal,Normal,Moustache,Normal,Glasses,Brown,Brown,Yes,Y
Donald McEachin,410,0.537,VA,4,D,M,0,MGrayGeneric ShortNormalBig SmileNormalNoneNormalGlassesBrownBlackYes,Gray,Generic Short,Normal,Big Smile,Normal,None,Normal,Glasses,Brown,Black,Yes,Y
Bob Good,411,0.694,VA,5,R,M,0,MBlackReceding HairlineNormalNormalNormalNoneNormalNoneBlueWhiteNo,Black,Receding Hairline,Normal,Normal,Normal,None,Normal,None,Blue,White,No,Y
Ben Cline,412,0.51,VA,6,R,M,0,MDark GrayGeneric ShortNormalNormalNormalNoneNormalNoneBlueWhiteMild,Dark Gray,Generic Short,Normal,Normal,Normal,None,Normal,None,Blue,White,Mild,Y
Abigail Spanberger,413,0.81,VA,7,D,F,0,FLight BlondeFemale LongNormalNormalNormalNoneNormalNoneGreenWhiteNo,Light Blonde,Female Long,Normal,Normal,Normal,None,Normal,None,Green,White,No,Y
Don Beyer,414,0.592,VA,8,D,M,0,MDark BlondeReceding HairlineNormalNormalNormalNoneChinNoneBlueWhiteMild,Dark Blonde,Receding Hairline,Normal,Normal,Normal,None,Chin,None,Blue,White,Mild,Y
Morgan Griffith,415,0.514,VA,9,R,M,0,MDark BlondeReceding HairlineNormalNormalNormalGoateeNormalNoneBlueWhiteYes,Dark Blonde,Receding Hairline,Normal,Normal,Normal,Goatee,Normal,None,Blue,White,Yes,Y
Jennifer Wexton,416,0.68,VA,10,D,F,0,FBlondeFemale LongNormalNormalNormalNoneNormalNoneBrownWhiteNo,Blonde,Female Long,Normal,Normal,Normal,None,Normal,None,Brown,White,No,Y
Gerry Connolly,417,0.554,VA,10,D,M,0,MWhiteReceding HairlineNormalNormalNormalMoustacheNormalGlassesBrownWhiteYes,White,Receding Hairline,Normal,Normal,Normal,Moustache,Normal,Glasses,Brown,White,Yes,Y
Tim Kaine,530,0.807,VA,SEN,D,M,0,MGrayReceding HairlineProminentThin LipsBigNoneCheeksNoneHazelWhitemild,Gray,Receding Hairline,Prominent,Thin Lips,Big,None,Cheeks,None,Hazel,White,mild,Y
Mark Warner,529,0.697,VA,SEN,D,M,0,MLight BrownGeneric ShortProminentSmirkNormalNoneNormalNoneBlue-GreyWhiteNo,Light Brown,Generic Short,Prominent,Smirk,Normal,None,Normal,None,Blue-Grey,White,No,Y
Stacey Plaskett,418,0.4,VI,1,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Brown,Female Long,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Peter Welch,406,0.677,VT,1,D,M,0,MGrayBaldNormalBig SmileBigNoneNormalGlassesBlueWhiteYes,Gray,Bald,Normal,Big Smile,Big,None,Normal,Glasses,Blue,White,Yes,Y
Bernie Sanders,531,0.936,VT,SEN,D,M,0,MWhiteBaldNormalBig SmileBigNoneChinGlassesBrownWhiteYes,White,Bald,Normal,Big Smile,Big,None,Chin,Glasses,Brown,White,Yes,Y
Patrick Leahy,532,0.803,VT,SEN,D,M,0,MWhiteBaldNormalBig SmileNormalNoneNormalGlassesBlueWhiteYes,White,Bald,Normal,Big Smile,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Suzan DelBene,419,0.537,WA,1,D,F,0,FBrownFemale BobNormalNormalNormalNoneNormalGlassesBrownWhiteNo,Brown,Female Bob,Normal,Normal,Normal,None,Normal,Glasses,Brown,White,No,Y
Rick Larsen,420,0.459,WA,2,D,M,0,MGrayReceding HairlineProminentNormalNormalNoneNormalNoneBlueWhiteNo,Gray,Receding Hairline,Prominent,Normal,Normal,None,Normal,None,Blue,White,No,Y
Jaime Herrera Beutler,421,0.66,WA,3,R,F,0,FBrownFemale BobNormalBig SmileNormalNoneNormalNoneBrownTanNo,Brown,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,Tan,No,Y
Dan Newhouse,422,0.602,WA,4,R,M,0,MWhiteReceding HairlineNormalNormalNormalBeardNormalGlassesBlueWhiteYes,White,Receding Hairline,Normal,Normal,Normal,Beard,Normal,Glasses,Blue,White,Yes,Y
Cathy McMorris Rodgers,423,0.656,WA,5,R,F,0,FBrownFemale BobNormalBig SmileNormalNoneCheeksNoneBrownWhiteMild,Brown,Female Bob,Normal,Big Smile,Normal,None,Cheeks,None,Brown,White,Mild,Y
Derek Kilmer,424,0.473,WA,6,D,M,0,MBlondeGeneric ShortNormalNormalNormalNoneNormalGlassesBlueWhiteYes,Blonde,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Pramila Jayapal,425,0.789,WA,7,D,F,0,FBlackFemale LongNormalSmirkNormalNoneNormalNoneBrownBrownNo,Black,Female Long,Normal,Smirk,Normal,None,Normal,None,Brown,Brown,No,Y
Kim Schrier,426,0.578,WA,8,D,F,0,FLight BrownFemale BobNormalBig SmileNormalNoneChinNoneBlue-GreyWhiteMild,Light Brown,Female Bob,Normal,Big Smile,Normal,None,Chin,None,Blue-Grey,White,Mild,Y
Adam Smith,427,0.847,WA,9,D,M,0,MGrayBaldNormalThin LipsBigNoneCheeksNoneBrownWhiteMild,Gray,Bald,Normal,Thin Lips,Big,None,Cheeks,None,Brown,White,Mild,Y
Marilyn Strickland,428,0.554,WA,10,D,F,0,FBlackFemale LongNormalNormalNormalNoneNormalGlassesBrownBlackNo,Black,Female Long,Normal,Normal,Normal,None,Normal,Glasses,Brown,Black,No,Y
Patty Murray,633,0.697,WA,SEN,D,F,0,FLight BlondeFemale BobNormalBig SmileNormalNoneNormalGlassesBrownwhitemild,Light Blonde,Female Bob,Normal,Big Smile,Normal,None,Normal,Glasses,Brown,white,mild,Y
Maria Cantwell,634,0.647,WA,SEN,D,F,0,FDark BrownFemale LongNormalBig SmileBigNoneNormalNoneblue-greywhiteno,Dark Brown,Female Long,Normal,Big Smile,Big,None,Normal,None,blue-grey,white,no,Y
Bryan Steil,432,0.541,WI,1,R,M,0,MDark BrownGeneric Male MediumNormalNormalNormalNoneNormalNoneBlueWhiteNo,Dark Brown,Generic Male Medium,Normal,Normal,Normal,None,Normal,None,Blue,White,No,Y
Mark Pocan,433,0.711,WI,2,D,M,0,MGrayBaldNormalNormalNormalGoateeNormalNoneGreenWhiteNo,Gray,Bald,Normal,Normal,Normal,Goatee,Normal,None,Green,White,No,Y
Ron Kind,434,0.697,WI,3,D,M,0,MDark GrayGeneric ShortNormalThin LipsBigNoneNormalNoneHazelTanNo,Dark Gray,Generic Short,Normal,Thin Lips,Big,None,Normal,None,Hazel,Tan,No,Y
Gwen Moore,435,0.721,WI,4,D,F,0,FBlackFemale LongNormalNormalNormalNoneNormalGlassesBrownBlackYes,Black,Female Long,Normal,Normal,Normal,None,Normal,Glasses,Brown,Black,Yes,Y
Scott Fitzgerald,436,0.418,WI,5,R,M,0,MLight BrownReceding HairlineNormalSmirkBigNoneNormalBigBlueWhiteYes,Light Brown,Receding Hairline,Normal,Smirk,Big,None,Normal,Big,Blue,White,Yes,Y
Glenn Grothman,437,0.486,WI,6,R,M,0,MLight GrayGeneric Male MediumNormalBig SmileNormalNoneNormalGlassesBlueWhiteYes,Light Gray,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,Glasses,Blue,White,Yes,Y
Tom Tiffany,438,0.537,WI,7,R,M,0,MBrownReceding HairlineProminentNormalBigNoneCheeksGlassesBrownWhiteMild,Brown,Receding Hairline,Prominent,Normal,Big,None,Cheeks,Glasses,Brown,White,Mild,Y
Mike Gallagher,439,0.551,WI,8,R,M,0,MDark BrownGeneric ShortProminentThin LipsNormalNoneNormalNoneAmberWhiteMild,Dark Brown,Generic Short,Prominent,Thin Lips,Normal,None,Normal,None,Amber,White,Mild,Y
Ron Johnson,637,0.821,WI,SEN,R,M,0,MWhiteReceding HairlineNormalSerious SmileBigNoneNormalNoneBlue-GreyWhiteMild,White,Receding Hairline,Normal,Serious Smile,Big,None,Normal,None,Blue-Grey,White,Mild,Y
Tammy Baldwin,536,0.688,WI,SEN,D,F,0,FDark BlondeFemale ShortNormalSerious SmileNormalNoneNormalNoneblue-greyWhitemild,Dark Blonde,Female Short,Normal,Serious Smile,Normal,None,Normal,None,blue-grey,White,mild,Y
David McKinley,429,0.548,WV,1,R,M,0,MDark GrayReceding HairlineNormalNormalNormalMoustacheNormalNoneBrownWhiteNo,Dark Gray,Receding Hairline,Normal,Normal,Normal,Moustache,Normal,None,Brown,White,No,Y
Alex Mooney,430,0.616,WV,2,R,M,0,MDark GrayGeneric Male MediumNormalNormalBigNoneCheeksNoneBrownWhiteNo,Dark Gray,Generic Male Medium,Normal,Normal,Big,None,Cheeks,None,Brown,White,No,Y
Carol Miller,431,0.677,WV,3,R,F,0,FDark BlondeFemale BobNormalSerious SmileBigNoneNormalGlassesBlueWhiteYes,Dark Blonde,Female Bob,Normal,Serious Smile,Big,None,Normal,Glasses,Blue,White,Yes,Y
Joe Manchin,537,0.872,WV,SEN,D,M,0,MDark GrayGeneric Male MediumNormalBig SmileBigNoneChinNoneBrownOrangeMild,Dark Gray,Generic Male Medium,Normal,Big Smile,Big,None,Chin,None,Brown,Orange,Mild,Y
Shelley Moore Capito,538,0.739,WV,SEN,R,F,0,FDark BlondeFemale BobNormalBig SmileNormalNoneNormalNoneblue-greyWhitemild,Dark Blonde,Female Bob,Normal,Big Smile,Normal,None,Normal,None,blue-grey,White,mild,Y
Liz Cheney,440,0.867,WY,1,R,F,0,FLight BlondeFemale BobNormalNormalBigNoneNormalGlassesBlueOrangeMild,Light Blonde,Female Bob,Normal,Normal,Big,None,Normal,Glasses,Blue,Orange,Mild,Y
John Barrasso,639,0.628,WY,SEN,R,M,0,MDark GrayGeneric Male MediumNormalNormalNormalNoneNormalGlasseshazelwhitemild,Dark Gray,Generic Male Medium,Normal,Normal,Normal,None,Normal,Glasses,hazel,white,mild,Y
Cynthia Lummis,640,0.596,WY,SEN,R,F,0,FBlondeFemale BobNormalBig SmileNormalNoneNormalNoneAmberOrangeno,Blonde,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Amber,Orange,no,Y
Aarika Rhodes,641,0,CA,30,D,F,0,,,,,,,,,,,,,N
Matt West,642,0,OR,6,D,M,0,,,,,,,,,,,,,N
Wendy Hamilton,643,0,DC,1,D,F,0,,,,,,,,,,,,,N
Matthew Diemer,644,0,OH,13,D,M,0,,,,,,,,,,,,,N
